Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
141115070000001,"FOOLSCAPE Paper, 75 GSM       ",31141596DG01139,Leg Plastic Natural 100L PP
141115070000002,COPIER PAPER A/3 SIZE (PKT.)  ,40101701PA00705,Blower GSC12FS3/FK3WIH Idu 1T
141115070000003,"A-4 Paper, 75 GSM             ",40101701PA02818,Blower GSC12FQ5AWOC 1T SAC
141115140000002,EXERCISE BOOK 200 PAGES       ,40101701PA05880,Blower GSC18FW3WOU 1.5TR SAC
141115140000004,SHORT HAND NOTE BOOK          ,40101701PA04737,Blower GSC18TSZ5RWPT 1.5TR SAC
141115140000006,ROUGH PAD (BIG) 5 - KG        ,40101701PA02825,Blower GSC18AINVRWPU 1.5TR SAC
141216000000006,TOILET PAPER ROLLS            ,40101701PA04856,Blower GSC18CPZ3RWPC 1.5TR SAC
141218100000001,CARBON PAPER TYP. F/S         ,40101701PA05164,Blower GSC12FFZH/DG5RWPH 1T
3050500,MIXED RECOVERY POWDER         ,40101701PA05708,Blower GSC18SFZR5CWQR 1.5TR
312015170000011,CELLO TAPE BIG 3/4 INCH       ,40101701PA01444,Blower GSC12FR5WMT IDU 1T SAC
312015170000012,CELLO TAPE SMALL 1/2 INCH     ,40101701PA01432,Blower GSC24FR2WLT IDU 2T SAC
312016010000002,GUM BOTTLE (SMALL) 150ML      ,40101701PA04736,Blower GSC18FR3WNT 1.5TR SAC
312016010000015,GLUE STICK                    ,40101701PA01437,Blower POWERCOOL1.5TON IDU
40890030,FIGURED GLASS 4MM 100L        ,40101701PA01436,Blower POWERCOOL2TON IDU 2T
411142010000001,FOOT RULES                    ,40101701PA01430,Blower GWC18GU4WLH 1.5TR WAC
432020030000002,DVD                           ,40101701PA04738,Cabinet GWC18GU3WMT 1.5TR WAC
441115180000002,VISITING CARDS ALBUM          ,40101701PA05881,Remote Control 2 SPEEDCOST 2T
441216150000006,STAPLER MACHINE  NO. 24 / 6   ,40101701PA04396,Remote Control COMMON 1T SAC
441216150000014,STAPLER MACHINE NO. 10        ,40101701PA05836,Remote Control 5154 1W 1T SAC
441216190000001,PENCIL SHARPNER               ,40101701PA01050,Remote Control GSC24F2
441216280000001,PIN CUSHION                   ,40101701PA01052,Remote Control GSC24F2 2T SAC
441217040000014,BALL PENS BLACK               ,40101701PA02495,Remote Control GSC18FA WHM
441217040000015,BALL PENS RED                 ,32101502SD00059,PCBA Elect Control Board
441217080000001,PERMANENT MARKER PEN RED      ,32101502SD00882,PCBA MAIN PCB ACC97729991
441217080000002,PERMANENT MARKER PEN BLACK    ,40101701PA01046,Remote Control GWC24G3 2T WAC
441217080000003,PERMANENT MARKER PEN BLUE     ,32101502SD00585,PCBA CONTROL PCB ASSEMBLY
441217080000004,PERMANENT MARKER PEN GREEN    ,40101701PA02909,Capacitor Common Compressor
441217080000005,WHITE BOARD MARKER RED        ,40101701PA01045,Remote Control GSC19G3 1.5TR
441217080000006,WHITE BOARD MARKER GREEN      ,40101701PA02909,Capacitor Common Compressor
441217080000007,WHITE BOARD MARKER BLACK      ,40101701PA04769,Sensor GSH12/19F5 Coil 1.5TR
441217080000008,WHITE BOARD MARKER BLUE       ,40101701PA04803,Remote Control GWC18GC 1.5TR
441217080000023,OHP TRANSPARENCY PEN SET      ,40101701PA02496,Remote Control GSC24FD2 WJH 2T
441217110000004,SKETCH PEN SET                ,40101701PA04387,Remote Control GSC24G3 2T SAC
441217160000001,HIGH LIGHTER PEN - PINK       ,40101701PA01037,Remote Control GSC18FAWHM
441217160000002,HIGH LIGHTER PEN ¢£•V YELLOW  ,32101502SD00017,PCBA Main Control Board Midea
441218040000005,ERASER INK / PENCIL           ,40101701PA01043,Remote Control GSC10GAWHH
441218040000006,ERASER PENCIL                 ,40101701PA04791,Remote Control GSC13GAWHH 1T
441218050000004,CORRECTION PEN                ,32101502SD00043,PCBA Display Gree 30540012
441219050000007,STAMP PAD PURPLE (BIG)        ,40101701PA04792,Remote Control GSC22FAWHT 2T
441220100000001,FILE FLAPS                    ,40101701PA05837,Remote Control GSC55FCWHN¬† 1T
441221010000001,RUBBER BAND PKTS              ,32101502SD00596,PCBA MAIN PCB GSC12F2C Galanz
441221050000002,BINDER CLIPS SIZE 19MM PER BOX,32101502SD00085,PCBA Main Pcb Galanz
441221050000003,BINDER CLIPS SIZE 25MM PER BOX,32101502SD00071,PCBA Main Pcb Galanz
441221050000004,BINDER CLIPS SIZE 32MM PER BOX,32101502SD00598,PCBA MAIN PCB GSC10FM/12FP5MIZ
441221050000005,BINDER CLIPS SIZE 41MM PER BOX,32101502SD00087,PCBA Main Pcb Galanz
44135498,AIR DRYG BLACK PNT 20LSUPERLAC,32101502SD00031,PCBA Main Control Board Galanz
44152105,THINNER-DIPPING               ,32101502SD00081,PCBA Main Contl Board Galanz
451018030000001,PUNCHING MACHINE              ,40101701PA01040,Remote Control GSC18FS3WIH
45324705,SILVER BRAZING ROD 5%         ,32101502SD00013,PCBA Main Pcb (1connctr) Gree
471316040000001,GOA BROOM                     ,40101701PA04388,Remote Control TYTSU 1T SAC
471316040000002,PHOOLZADU                     ,32101502SD01987,PCBA PCB Main+Disp GWC12G5
