Warehouse code	Item code	Item Description	Stock on Hand
ZBF12S	12141900SD00102	Brazing Can Gas	5
ZBF12S	12141900SD00200	MAPP Gas	10
ZBF12S	12350000SD00247	Scale Sol Min98% Bottle	0
ZBF12S	12350000SD00248	Scale Sol Min99% Bottle	72
ZBF12S	23271802SD00003	Brazflux Powder FH-10 1Kg	41
ZBF12S	23271802SD00013	Brazflux Paste EPOXY ALUMINIUM	90
ZBF12S	23271802SD00038	Brazflux Powder FH-10 100 Gms	167
ZBF12S	23271804SD00010	Brzrod Zn-Al 85%-15% D:1.6mm	141
ZBF12S	23271804SD00069	Brzrod CU D:1.25mm L:500mm 1Kg	201
ZBF12S	23271821PA01247	WldTrch Torch Mapp Brazing	7
ZBF12S	24101503SD00014	Wheel Barrow MS 36''x25''x24''	1
ZBF12S	24101503SD00095	Wheel Barrow PVC 7.5x73x64cm	645
ZBF12S	24101503SD00097	Wheel Barrow MS 12.5x84x84cm	397
ZBF12S	24101503SD00198	Wheel Barrow MS 7.5x73x64cm	35
ZBF12S	24101503SD00276	Wheel Barrow PVC 7.5x73x64cm	0
ZBF12S	24111816SD00001	Empty Cylinder 60kg MS R410	2
ZBF12S	24111816SD00005	Empty Cylinder 10kg MS R410	6
ZBF12S	24111816SD00008	Empty Cylinder 61kg MS R22	31
ZBF12S	24121511SD02236	Crtn Kr Ppr MOTOR-SPIN/WASH	48
ZBF12S	24121511SD13994	Crtn Crd Brd ODU SIC 18ITC5	0
ZBF12S	24131513SD00003	Refrigrnt R600 Cans 200GMS	0
ZBF12S	24131513SD00006	Refrigrnt R290 Cans 150GMS	0
ZBF12S	24131513SD00010	Refrigrnt R134a 62Kg	0
ZBF12S	24131513SD00013	Refrigrnt R134a 10Kg	0
ZBF12S	24131513SD00014	Refrigrnt R22 61Kg	4
ZBF12S	24131513SD00018	Refrigrnt R410a 8Kg	0
ZBF12S	24131513SD00019	Refrigrnt HC Cans 170GMS	196
ZBF12S	24131513SD00020	Refrigrnt R134a Can450GM-SV-1P	0
ZBF12S	24131513SD00030	Refrigrnt R32 8Kg	0
ZBF12S	24131513SD00037	Refrigrnt R134a Cylinder	40
ZBF12S	24131513SD00097	Refrigrnt R32 40Kg	0
ZBF12S	24131513SD00098	Refrigrnt R410a 40Kg	14
ZBF12S	24131513SD00099	Refrigrnt R32 6Kg	27
ZBF12S	24131601PA00183	Thermostat 400L GCHW410R2DXB	1
ZBF12S	24131601PA00267	Thermostat GCHW520R6DHC	0
ZBF12S	24131601PA00277	Condenser Auxilary	0
ZBF12S	24131601PA00278	Basket GCHW520R6DHC	0
ZBF12S	24131601PA00288	Condenser Auxillary Chest	1
ZBF12S	24131601PA00432	Fan motor Chest Freezer HT	0
ZBF12S	26101114SD00317	EleMotor 40W Spin Al New SATT	210
ZBF12S	26101114SD00318	EleMotor 90W Wash Al New SATT	48
ZBF12S	26101114SD00333	EleMotor 150W Geard Mtr5.5kgFA	53
ZBF12S	26101114SD00336	EleMotor 40W QA22-150 1Ph 230V	0
ZBF12S	26101114SD00380	EleMotor 6.5W Fan Micro For FF	0
ZBF12S	26101114SD00383	EleMotor 45W IMP Spin 6203	56
ZBF12S	26101114SD00384	EleMotor 135W IMP Wash 6203	36
ZBF12S	26101114SD00385	EleMotor 70W Spn6502/7002/8002	29
ZBF12S	26101114SD00386	EleMotor 60W IMP Spn 6801/820	267
ZBF12S	26101114SD00387	EleMotor 45W IMP SPIN 6001PPI	1
ZBF12S	26101114SD00393	EleMotor 45W IMP Spin 6201 Cu	0
ZBF12S	26101114SD00890	EleMotor 4.2W ORM-10097B2 1Ph	0
ZBF12S	26101114SD02200	EleMotor 6.5W Micro Fr FF New	1107
ZBF12S	26101114SD02395	EleMotor 70W WP 1Ph 230V 50Hz	18
ZBF12S	26101200DG00007	DC motor PM 12VDC 500mA max	16
ZBF12S	26101200DG00093	DC motor Stepper Motor 12VDC	3
ZBF12S	26101200DG00166	DC motor PM 12VDC 500mA FDQJ	0
ZBF12S	26101200DG00194	DC motor BL 230V 2.5A IDU 30W	0
ZBF12S	26111524DG00001	Gear Box H Assembly Old FATL	0
ZBF12S	26111801SD00076	V belt NonStd L:501mm NonStd	11
ZBF12S	26111801SD01100	V belt C (22mmx14mm) L:640mm	28
ZBF12S	26121700DG01628	Wrg harness ReedSwt Adr Htr	2
ZBF12S	27111701SD00001	Screw Driver 2in1 2.3X 0.4 &	2
ZBF12S	27111907SD00026	Hnd Wr brsh Str Brass 3"	2
ZBF12S	30171706DG00041	TG T:4mm New FATL	2
ZBF12S	30171706DG01443	TG T:3.2mm Liner Shelf Marvel	0
ZBF12S	31130097DG00001	Apl forging Connector set Cast	0
ZBF12S	31130097DG00013	Apl forging Connector set	323
ZBF12S	31141596DG00010	Cap SPIN Cnd Blu SAWM LDPE	190
ZBF12S	31141596DG00127	Bellow DRAIN VALVE SAWM 1 Rbr	364
ZBF12S	31141596DG00142	Holder For Bulb White Ref GPPS	89
ZBF12S	31141596DG00160	Eva Pan Natural AXIS/NEO/ 300	856
ZBF12S	31141596DG00181	Cam DRAIN Natural SAWM Actl	0
ZBF12S	31141596DG00185	Tray CRISPER NEO/AXIS PP	429
ZBF12S	31141596DG00206	SCRIVET- NYLON-6	6
ZBF12S	31141596DG00561	Utlty Shlf Blue tint Spin R1	0
ZBF12S	31141596DG00569	Half shelf Rh Blue tint Spin	0
ZBF12S	31141596DG00696	Btl Shlf One pc Blue tint Epro	39
ZBF12S	31141596DG00921	Chiller Tray Blue tint Spin R1	16
ZBF12S	31141596DG01030	Bellow ASSEMBLY UNIVERSAL	3027
ZBF12S	31141596DG01052	Chiller Tray Edge GPPS SC201LV	10
ZBF12S	31141596DG01071	Frame SQUARE White EDGE SX PP	4
ZBF12S	31141596DG01107	Utlty Shlf Big Neo Wht 180	30
ZBF12S	31141596DG01109	Scrivet Neo Wht EDGE COMMON PP	55
ZBF12S	31141596DG01145	Btl Shlf Big Hlf Tne Bl 180	183
ZBF12S	31141596DG01148	Frzr Dr Frnt 215 EdgeSx Neo	60
