Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
141115070000001,"FOOLSCAPE Paper, 75 GSM       ",14111507SD00001,XEROX PAPERS F/S SIZE  (PKT)
141115070000002,COPIER PAPER A/3 SIZE (PKT.)  ,14111507SD00002,XEROX PAPERS A/3 SIZE  (PKT)
141115070000003,"A-4 Paper, 75 GSM             ",14111507SD00003,XEROX PAPERS A4 SIZE  (PKT)
141115140000002,EXERCISE BOOK 200 PAGES       ,14111514SD00002,Notebook 200pages 165mmX255mm
141115140000004,SHORT HAND NOTE BOOK          ,14111514SD00004,SHORT HAND NOTE B0OOKS
141115140000006,ROUGH PAD (BIG) 5 - KG        ,14111514SD00006,ROUGH PAD BIG
141216000000006,TOILET PAPER ROLLS            ,14121600SD00006,TOILET PAPER ROLL
141218100000001,CARBON PAPER TYP. F/S         ,14121810SD00001,CARBON PAPER PENCIL F/S
3050500,MIXED RECOVERY POWDER         ,24121502SD00670,MIX REUSABLE (RECOVERY POWDER)
312015170000011,CELLO TAPE BIG 3/4 INCH       ,31201517SD00011,Plastic or BOPP tape
312015170000012,CELLO TAPE SMALL 1/2 INCH     ,31201517SD00012,"CELLO TAPE 4"""
312016010000002,GUM BOTTLE (SMALL) 150ML      ,31201601SD00002,GUM BOTTLES SMALL
312016010000015,GLUE STICK                    ,31201601SD00015,Glue Stick
40890030,FIGURED GLASS 4MM 100L        ,30171706DG00016,REF GLASS 100LTR 4MM THK
411142010000001,FOOT RULES                    ,41114201SD00001,FOOT RULES
432020030000002,DVD                           ,43202003SD00001,DVD
441115180000002,VISITING CARDS ALBUM          ,44111518SD00002,VISITING CARDS ALBUM- 200 CAP
441216150000006,STAPLER MACHINE  NO. 24 / 6   ,44121615SD00006,KANGARO HS 45 P STAPLER
441216150000014,STAPLER MACHINE NO. 10        ,44121615SD00014,Stapler Machine No.10
441216190000001,PENCIL SHARPNER               ,44121619SD00001,PENCIL SHARPNER
441216280000001,PIN CUSHION                   ,44121628SD00001,PIN CUSHIONS
441217040000014,BALL PENS BLACK               ,44121704SD00014,Ball Pens Black
441217040000015,BALL PENS RED                 ,44121704SD00015,EASY FINE TIP BALL PEN RED
